race year,age group,gender,city,latitude,longitude,name
2002,20-30,male,Geneva,46.2043907,6.1431577000000015,16
2002,20-30,male,Pully,46.50926810000001,6.6654949000000006,12
2002,20-30,male,Morges,46.50881270000001,6.4961300999999985,8
2002,20-30,male,Vevey,46.4628333,6.8419191999999995,8
2002,20-30,male,Crissier,46.55186870000001,6.5743458,8
2002,20-30,male,Ecublens,46.52963629999999,6.5615251999999975,8
2002,20-30,male,Renens,46.533809999999995,6.5913699999999995,7
2002,20-30,male,Neuchâtel,46.989987400000004,6.929273200000001,7
2002,20-30,male,Bernex,46.1771419,6.0764849000000005,6
2002,20-30,male,Basel,47.5595986,7.5885761,5
2002,20-30,male,Bern,46.9479739,7.447446799999999,5
2002,20-30,male,La Tour-de-Peilz,46.4533165,6.8612781,5
2002,20-30,male,Nyon,46.3832683,6.2347852,5
2002,20-30,male,Saint-Sulpice,46.51011399999999,6.5581951000000025,4
2002,20-30,male,Cheseaux-sur-Lausanne,46.585452000000004,6.6047712,4
2002,20-30,male,Yverdon-les-Bains,46.77847360000001,6.641183,4
2002,20-30,male,Clarens,-28.514357300000004,28.4104684,4
2002,20-30,male,Échallens,46.641099600000004,6.6344508000000015,4
2002,20-30,male,St Gallen,47.424481799999995,9.376717300000001,4
2002,20-30,male,Biel/Bienne,47.1367785,7.2467909,3
2002,20-30,male,Carouge,46.1829674,6.1378539000000005,3
2002,20-30,male,Chexbres,46.481691999999995,6.778807799999999,3
2002,20-30,male,Romanshorn,47.5657078,9.3771959,3
2002,20-30,male,Collombey,46.2710282,6.9459482999999995,3
2002,20-30,male,Sion,46.2331221,7.360625999999999,3
2002,20-30,male,Évian-les-Bains,46.401488,6.5909489999999975,3
2002,20-30,male,Corseaux,46.4702528,6.828997099999999,3
2002,20-30,male,Strasbourg,48.5734053,7.752111299999997,3
2002,20-30,male,La Chaux-de-Fonds,47.10348920000001,6.832783800000001,3
2002,20-30,male,Ollon,46.30084,7.0428400999999985,3
2002,20-30,male,Les Rousses,46.48434,6.061806,2
2002,20-30,male,Montreux,46.4312213,6.9106799,2
2002,20-30,male,Martigny,46.104979799999995,7.0755333999999985,2
2002,20-30,male,Sierre,46.29413110000001,7.533536199999999,2
2002,20-30,male,Lyons,43.064593,-76.98994990000001,2
2002,20-30,male,Muri bei Bern,46.9350521,7.498472799999999,2
2002,20-30,male,Courtételle,47.3427221,7.317120099999999,2
2002,20-30,male,Murten,46.92922110000001,7.120184,2
2002,20-30,male,Lucens,46.7082614,6.8389175999999985,2
2002,20-30,male,Cugy,46.5851396,6.640292899999999,2
2002,20-30,male,Remicourt,48.287338,6.057081,2
2002,20-30,male,Sainte-Croix,46.8217968,6.5022221999999985,2
2002,20-30,male,Saint-Légier-La Chiésaz,46.47171849999999,6.876770899999999,2
2002,20-30,male,Portland,45.565921,-122.60666270000002,2
2002,20-30,male,Prilly,46.534644899999996,6.6052401,2
2002,20-30,male,Romanel-sur-Lausanne,46.5630648,6.6039449999999995,2
2002,20-30,male,Fribourg,46.8064773,7.1619718999999975,2
2002,20-30,male,Gorlice,49.654615899999996,21.159632100000003,2
2002,20-30,male,Gorizia,45.94018120000001,13.6201754,2
2002,20-30,male,Montcherand,46.73381000000001,6.50864,2
2002,20-30,male,Chavornay,46.7088129,6.5707689,2
2002,20-30,male,Biasca,46.3580008,8.9704651,2
2002,20-30,male,Aigle,46.3190253,6.9705660000000025,2
2002,20-30,male,Zug,47.166167200000004,8.5154946,2
2002,20-30,male,Bavois,46.6860182,6.5653717999999985,2
2002,20-30,male,Chavannes-près-Renens,46.531637599999996,6.5749695999999975,2
2002,20-30,male,Baden,40.6350668,-80.22811589999998,2
2002,20-30,male,Vallorbe,46.71199650000001,6.3791101999999995,2
2002,20-30,male,Stammbach,50.145200700000004,11.6900326,1
2002,20-30,male,Oberrohrdorf,47.423424,8.3155322,1
2002,20-30,male,Vulbens,46.101439,5.931858,1
2002,20-30,male,Olten,47.3499624,7.903703399999999,1
2002,20-30,male,Orbe,46.72933010000001,6.5323588,1
2002,20-30,male,Orny,46.6673781,6.5260640999999975,1
2002,20-30,male,Oron-le-Châtel,46.5711878,6.8427243,1
2002,20-30,male,Vufflens-la-Ville,46.5787989,6.539418,1
2002,20-30,male,Vétroz,46.2257544,7.2819705999999975,1
2002,20-30,male,Ostermundigen,46.9577083,7.487306900000001,1
2002,20-30,male,Vouvry,46.3363829,6.891011199999999,1
2002,20-30,male,Ozark,37.0682911,-93.23185,1
2002,20-30,male,Paris,48.88237609999999,2.3822917,1
2002,20-30,male,Paudex,46.5051579,6.6723034,1
2002,20-30,male,Payerne,46.8220266,6.9405663,1
2002,20-30,male,Pontivy,48.066152,-2.967056,1
2002,20-30,male,Obergerlafingen,47.1614,7.584040000000001,1
2002,20-30,male,New York,40.7258994,-74.0061237,1
2002,20-30,male,North Haven,41.3608201,-72.8715787,1
2002,20-30,male,Zermatt,46.0207133,7.749117000000001,1
2002,20-30,male,Monthey,46.252187299999996,6.9469598,1
2002,20-30,male,Épalinges,46.54885729999999,6.6741990000000015,1
2002,20-30,male,Montreux,46.432164,6.9255565,1
2002,20-30,male,Montreux,46.4458626,6.9100661999999975,1
2002,20-30,male,Morrens,46.59106970000001,6.6256805,1
2002,20-30,male,Moudon,46.6698891,6.7975224,1
2002,20-30,male,Zuchwil,47.203546,7.557985800000001,1
2002,20-30,male,Zell,47.4569,8.7747,1
2002,20-30,male,Waldenburg,49.1832843,9.6385802,1
2002,20-30,male,Muszyna,49.3565901,20.8971615,1
2002,20-30,male,Muttenz,47.5279292,7.6476369,1
2002,20-30,male,Métabief,46.773705,6.3505519999999995,1
2002,20-30,male,Münsingen,46.8746813,7.5627527999999975,1
