race year,age group,gender,category,city,canton,country,latitude,longitude
2002,other,female,42,Mönchaltorf,ZH,CH,47.309886299999995,8.721497399999999
2002,other,female,42,Willisau,LU,CH,47.1211466,7.992588599999999
2002,other,male,10,Les Breuleux,JU,CH,47.21222239999999,7.004033600000001
2002,other,male,10,Evilard,BE,CH,47.149734,7.238890799999999
2002,other,male,10,Sion,VS,CH,46.2331221,7.360625999999999
2002,other,male,10,Sion,VS,CH,46.2331221,7.360625999999999
2002,other,male,10,Sion,VS,CH,46.2331221,7.360625999999999
2002,other,male,10,Lancy,GE,CH,46.188516799999995,6.1144545999999975
2002,other,male,10,Gossau,SG,CH,47.415560799999994,9.248852000000001
2002,other,male,10,Delémont,JU,CH,47.365837,7.3451555000000015
2002,other,male,10,La Chaux-de-Fonds,NE,CH,47.10348920000001,6.832783800000001
2002,other,male,10,Échichens,VD,CH,46.5260528,6.498251199999999
2002,other,male,21,Ruda Śląska,śląskie,PL,50.30957180000001,18.8794967
2002,other,male,21,Sanger,CA,US,36.717669,-119.56837900000001
2002,other,male,21,Neuchâtel,NE,CH,46.989987400000004,6.929273200000001
2002,other,male,21,Senarclens,VD,CH,46.6003663,6.4869682
2002,other,male,21,Luton,England,GB,51.87867070000001,-0.4200255
2002,other,male,21,Corcelles-Cormondrèche,NE,CH,46.98504000000001,6.8723478
2002,other,male,21,Gland,VD,CH,46.4203001,6.2698809
2002,other,male,21,Bettens,VD,CH,46.62798890000001,6.5773316999999984
2002,other,male,21,Saint-Gingolph,VS,CH,46.39082399999999,6.8048265999999975
2002,other,male,21,Renens,VD,CH,46.533809999999995,6.5913699999999995
2002,other,male,42,Eglisau,ZH,CH,47.5762223,8.521980899999999
2002,other,male,42,Kaukauna,WI,US,44.306209,-88.261009
2002,other,male,42,Vollèges,VS,CH,46.09897,7.1641499999999985
2002,other,male,42,Bruz,Brittany,FR,48.024538,-1.747148
2002,other,male,42,Chamalières,Auvergne-Rhône-Alpes,FR,45.77412,3.060484
2002,other,male,42,Sury-le-Comtal,Auvergne-Rhône-Alpes,FR,45.538092,4.183188899999998
