POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
336-08410,-,0,Red,SS,N,N,SFMTA,ON,0,841,BUSH ST,3438000,Area 1,,"(37.7897143987, -122.4117709992)"
562-05020,-,0,Yellow,SS,N,N,SFMTA,ON,0,502,MASON ST,8806000,Area 1,,"(37.7882006996, -122.4100085978)"
614-04060,-,0,Red,SS,N,N,SFMTA,ON,0,406,POST ST,10629000,Area 1,,"(37.7883134977, -122.4087344983)"
614-04200,-,0,Red,SS,N,N,SFMTA,ON,0,420,POST ST,10629000,Area 1,,"(37.7882488006, -122.4092396979)"
614-04280,-,0,Red,SS,N,N,SFMTA,ON,0,428,POST ST,10629000,Area 1,,"(37.7882165973, -122.4094909986)"
336-04300,-,0,Red,SS,N,N,SFMTA,ON,0,430,BUSH ST,3430000,Area 5,Downtown,"(37.7907075983, -122.4049595014)"
681-06280,-,0,Red,SS,N,N,SFMTA,ON,0,628,TAYLOR ST,12436000,Area 1,,"(37.7886307974, -122.4117821974)"
582-01110,-,0,Red,SS,N,N,SFMTA,ON,0,111,NEW MONTGOMERY ST,9544000,Area 5,Downtown,"(37.7871887022, -122.4001035017)"
582-01370,-,0,Grey,SS,N,N,SFMTA,ON,0,137,NEW MONTGOMERY ST,9546000,Area 5,Downtown,"(37.7865597018, -122.3993192014)"
442-01100,-,0,Grey,SS,N,N,SFMTA,ON,0,110,GOLDEN GATE AVE,6260000,Area 2,,"(37.7820951984, -122.4126018972)"
502-00050,-,0,Grey,SS,N,N,SFMTA,ON,0,5,JONES ST,7563000,Area 2,,"(37.7813573004, -122.4121376013)"
369-00180,-,0,Yellow,SS,N,N,SFMTA,ON,0,18,CAMPTON PL,3649000,Area 5,Downtown,"(37.7891265982, -122.4059735999)"
336-05040,-,0,Yellow,SS,N,N,SFMTA,ON,0,504,BUSH ST,3431000,Area 5,Downtown,"(37.7906077978, -122.4057440979)"
568-06490,-,0,Yellow,SS,Y,N,SFMTA,ON,0,649,MISSION ST,9093000,Area 5,Downtown,"(37.7871043020, -122.4008055978)"
568-06540,-,0,Yellow,SS,Y,N,SFMTA,ON,0,654,MISSION ST,9093000,Area 5,Downtown,"(37.7870912989, -122.4010796973)"
568-06630,-,0,Yellow,SS,Y,N,SFMTA,ON,0,663,MISSION ST,9093000,Area 5,Downtown,"(37.7867988990, -122.4011925009)"
614-03200,-,0,Red,SS,N,N,SFMTA,ON,0,320,POST ST,10628000,Area 5,Downtown,"(37.7884369017, -122.4076851008)"
664-02260,-,0,Yellow,SS,N,N,SFMTA,ON,0,226,STOCKTON ST,12197000,Area 5,Downtown,"(37.7882913974, -122.4066707005)"
666-03050,-,0,Yellow,SS,N,N,SFMTA,ON,0,305,SUTTER ST,12321000,Area 5,Downtown,"(37.7895425976, -122.4055963975)"
666-04050,-,0,Red,SS,N,N,SFMTA,ON,0,405,SUTTER ST,12322000,Area 5,Downtown,"(37.7893377998, -122.4072163009)"
204-03600,-,0,Grey,SS,N,N,SFMTA,ON,0,360,04TH ST,258000,Area 5,South Embarcadero,"(37.7810151008, -122.4000513998)"
606-06100,-,0,Grey,SS,N,N,SFMTA,ON,0,610,PINE ST,10465000,Area 2,,"(37.7915079975, -122.4061336999)"
666-01170,-,0,Yellow,SS,N,N,SFMTA,ON,0,117,SUTTER ST,12318001,Area 5,Downtown,"(37.7899119993, -122.4027701986)"
563-01170,-,0,Grey,SS,N,N,SFMTA,ON,0,117,MCALLISTER ST,8890000,Area 2,,"(37.7807818034, -122.4143429194)"
686-01360,-,0,Grey,SS,N,N,SFMTA,ON,0,136,TURK ST,12717000,Area 2,,"(37.7831233003, -122.4119631012)"
